n = 20;
t = 5;
r = 4;
d = 2;

P =
  [
    [ 0 1 0 0 0 0 0 0 0 0 0 0 1 0 1 0 0 1 0 0 ]
    [ 1 0 0 0 0 0 1 0 0 0 1 0 0 1 0 1 0 0 0 1 ]
    [ 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 1 0 1 0 0 ]
    [ 0 0 0 0 1 0 1 1 1 0 0 1 0 0 0 0 1 0 1 0 ]
    [ 0 0 0 1 0 1 0 0 0 0 0 0 0 1 0 0 1 0 0 1 ]
    [ 0 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 0 1 0 ]
    [ 0 1 1 1 0 0 0 0 0 0 1 0 0 1 1 1 1 0 0 0 ]
    [ 0 0 0 1 0 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 ]
    [ 0 0 0 1 0 1 0 0 0 0 0 0 0 0 1 0 0 0 1 0 ]
    [ 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 1 1 1 1 ]
    [ 0 1 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 1 0 ]
    [ 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 ]
    [ 1 0 1 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 ]
    [ 0 1 0 0 1 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 ]
    [ 1 0 0 0 0 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 ]
    [ 0 1 1 0 0 0 1 0 0 0 0 0 1 0 0 0 0 1 0 0 ]
    [ 0 0 0 1 1 0 1 0 0 1 0 1 0 1 0 0 0 0 0 0 ]
    [ 1 0 1 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 ]
    [ 0 0 0 1 0 1 0 0 1 1 1 0 0 0 0 0 0 0 0 0 ]
    [ 0 1 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 ]
  ];

S =
  [
    [ 0 0 0 1 1 0 1 0 1 1 0 0 0 0 0 0 1 0 1 0 ]
    [ 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 ]
    [ 0 0 0 1 1 1 0 0 0 0 1 1 0 1 0 0 0 0 0 1 ]
    [ 1 0 1 0 0 0 0 0 0 0 1 0 0 1 0 0 0 0 0 0 ]
    [ 1 0 1 0 0 0 0 0 1 0 0 0 1 0 0 1 0 1 0 0 ]
    [ 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 1 ]
    [ 1 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 ]
    [ 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 1 0 ]
    [ 1 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 1 0 0 ]
    [ 1 1 0 0 0 0 1 0 0 0 0 1 1 0 1 0 0 0 0 0 ]
    [ 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 ]
    [ 0 0 1 0 0 0 1 0 1 1 0 0 0 1 0 1 0 0 0 0 ]
    [ 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 1 1 1 0 ]
    [ 0 0 1 1 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 1 ]
    [ 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 1 ]
    [ 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 1 ]
    [ 1 1 0 0 0 1 0 0 0 0 0 0 1 0 0 0 0 1 1 0 ]
    [ 0 0 0 0 1 1 0 0 1 0 0 0 1 0 0 0 1 0 0 1 ]
    [ 1 0 0 0 0 0 0 1 0 0 0 0 1 0 1 0 1 0 0 0 ]
    [ 0 0 1 0 0 1 0 0 0 0 1 0 0 1 1 1 0 1 0 0 ]
  ];
