n = 21;
t = 6;
r = 4;
d = 3;

P =
  [
    [ 0 1 0 1 0 1 0 0 1 0 0 1 1 0 0 0 0 0 1 0 0 ]
    [ 1 0 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 1 1 ]
    [ 0 0 0 0 0 0 0 0 0 1 0 0 1 0 1 0 0 0 0 0 0 ]
    [ 1 0 0 0 0 0 1 0 0 0 0 0 1 1 0 0 0 0 0 0 1 ]
    [ 0 0 0 0 0 0 1 0 1 1 0 1 1 0 0 0 1 0 0 1 0 ]
    [ 1 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 1 0 0 1 1 ]
    [ 0 1 0 1 1 1 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0 ]
    [ 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 ]
    [ 1 0 0 0 1 1 1 0 0 0 1 0 0 0 0 0 0 0 1 0 0 ]
    [ 0 0 1 0 1 0 1 0 0 0 0 0 1 1 1 0 1 0 0 1 0 ]
    [ 0 0 0 0 0 0 0 0 1 0 0 1 0 1 0 0 1 1 1 0 0 ]
    [ 1 0 0 0 1 0 0 0 0 0 1 0 0 0 1 0 1 1 0 1 0 ]
    [ 1 0 1 1 1 0 0 0 0 1 0 0 0 0 0 1 0 0 0 1 0 ]
    [ 0 0 0 1 0 0 0 0 0 1 1 0 0 0 1 1 1 0 0 1 1 ]
    [ 0 0 1 0 0 0 0 0 0 1 0 1 0 1 0 0 0 0 0 1 0 ]
    [ 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 1 0 0 0 0 ]
    [ 0 0 0 0 1 1 0 0 0 1 1 1 0 1 0 1 0 0 0 0 1 ]
    [ 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 1 0 1 ]
    [ 1 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 1 0 0 0 ]
    [ 0 1 0 0 1 1 0 1 0 1 0 1 1 1 1 0 0 0 0 0 0 ]
    [ 0 1 0 1 0 1 0 1 0 0 0 0 0 1 0 0 1 1 0 0 0 ]
  ];

S =
  [
    [ 0 0 1 0 0 0 1 1 0 0 1 0 0 1 0 1 1 1 0 0 1 ]
    [ 0 0 0 1 1 1 0 0 0 1 0 1 1 0 0 0 1 0 1 0 0 ]
    [ 1 0 0 1 0 0 0 0 1 0 0 0 0 1 0 1 0 0 1 0 0 ]
    [ 0 1 1 0 1 0 0 1 1 1 1 0 0 0 1 0 1 0 0 1 0 ]
    [ 0 1 0 1 0 1 0 0 0 0 1 0 0 1 1 0 0 1 0 0 0 ]
    [ 0 1 0 0 1 0 0 0 0 0 0 0 1 0 1 1 0 0 1 0 0 ]
    [ 1 0 0 0 0 0 0 1 0 0 0 0 0 0 1 1 0 0 0 1 1 ]
    [ 1 0 0 1 0 0 1 0 0 1 1 1 0 1 1 0 0 1 1 0 0 ]
    [ 0 0 1 1 0 0 0 0 0 0 0 1 1 0 0 1 0 0 0 1 0 ]
    [ 0 1 0 1 0 0 0 1 0 0 0 1 0 0 0 0 0 1 0 0 0 ]
    [ 1 0 0 1 1 0 0 1 0 0 0 0 1 0 0 0 0 0 0 1 0 ]
    [ 0 1 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0 ]
    [ 0 1 0 0 0 1 0 0 1 0 1 0 0 0 1 0 1 0 0 0 1 ]
    [ 1 0 1 0 1 0 0 1 0 0 0 0 0 0 0 0 0 1 1 0 0 ]
    [ 0 0 0 1 1 1 1 1 0 0 0 0 1 0 0 0 1 0 0 0 0 ]
    [ 1 0 1 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 1 1 1 ]
    [ 1 1 0 1 0 0 0 0 0 0 0 0 1 0 1 0 0 1 1 1 0 ]
    [ 1 0 0 0 1 0 0 1 0 1 0 0 0 1 0 0 1 0 0 1 0 ]
    [ 0 1 1 0 0 1 0 1 0 0 0 0 0 1 0 1 1 0 0 0 0 ]
    [ 0 0 0 1 0 0 1 0 1 0 1 0 0 0 0 1 1 1 0 0 1 ]
    [ 1 0 0 0 0 0 1 0 0 0 0 0 1 0 0 1 0 0 0 1 0 ]
  ];
